Id,OrderNo__c,SaleNo__c,EffectiveDate,TotalAmount,OrderStatus__c
801TJ00000oHo3iYAC,SOR202301160122,,2023-01-16,0,08
801TJ00000oJu7FYAS,,SAL202301240173,2023-01-24,361000,
801TJ00000oHkNUYA0,SOR202302200418,,2023-02-20,330000,08
801TJ00000oHyPSYA0,SOR202303060195,,2023-03-06,330000,08
801TJ00000oJvSWYA0,,SAL202303250210,2023-03-25,330000,
801TJ00000oIIJQYA4,SOR202303290128,,2023-03-29,0,08
801TJ00000oK08sYAC,,SAL202304150076,2023-04-15,0,
801TJ00000oIGSJYA4,SOR202304170420,,2023-04-17,14450000,08
801TJ00000oJF1qYAG,,SAL202304220266,2023-04-22,330000,
801TJ00000oIGDfYAO,SOR202304270063,,2023-04-27,40000,08
801TJ00000oKe0OYAS,,SAL202304270022,2023-04-27,14450000,
801TJ00000oKY2aYAG,,SAL202305130082,2023-05-13,40000,
801TJ00000oINsqYAG,SOR202305301627,,2023-05-30,0,08
801TJ00000oHrKnYAK,SOR202305301672,,2023-05-30,140000,08
801TJ00000oIDiAYAW,SOR202305301662,,2023-05-30,984000,08
801TJ00000oHrKpYAK,SOR202305301674,,2023-05-30,1624000,08
801TJ00000oIDiDYAW,SOR202305301665,,2023-05-30,1968000,08
801TJ00000oIDc0YAG,SOR202305300470,,2023-05-30,2065000,08
801TJ00000oIDiHYAW,SOR202305301669,,2023-05-30,2065000,08
801TJ00000oIDbyYAG,SOR202305300468,,2023-05-30,2808000,08
801TJ00000oIVWoYAO,SOR202305300463,,2023-05-30,4320000,08
801TJ00000oJEg6YAG,,SAL202306130248,2023-06-13,391000,
801TJ00000oKBjHYAW,,SAL202307070797,2023-07-07,140000,
801TJ00000oKBjBYAW,,SAL202307070791,2023-07-07,984000,
801TJ00000oKBjFYAW,,SAL202307070795,2023-07-07,1624000,
801TJ00000oKBjEYAW,,SAL202307070794,2023-07-07,1968000,
801TJ00000oJA8bYAG,,SAL202307070799,2023-07-07,2065000,
801TJ00000oJgZeYAK,,SAL202307080083,2023-07-08,2065000,
801TJ00000oJgZcYAK,,SAL202307080081,2023-07-08,2808000,
801TJ00000oJgZZYA0,,SAL202307080078,2023-07-08,4320000,
801TJ00000oIGgrYAG,SOR202307100186,,2023-07-10,736000,08
801TJ00000oI9JVYA0,SOR202307101806,,2023-07-10,808000,08
801TJ00000oIZLIYA4,SOR202307130080,,2023-07-13,4102000,08
801TJ00000oHfghYAC,SOR202307130092,,2023-07-13,6784000,08
801TJ00000oJy8xYAC,,SAL202307220506,2023-07-22,808000,
801TJ00000oJFNZYA4,,SAL202307260239,2023-07-26,736000,
801TJ00000oJciHYAS,,SAL202308180675,2023-08-18,4102000,
801TJ00000oJciKYAS,,SAL202308180692,2023-08-18,6784000,
801TJ00000oIkUOYA0,,SAL202309160082,2023-09-16,0,
801TJ00000oIQXSYA4,SOR202401290433,,2024-01-29,0,08
801TJ00000oKGLbYAO,,SAL202403160004,2024-03-16,828000,
801TJ00000oHqYrYAK,SOR202406071024,,2024-06-07,330000,08
801TJ00000oHzESYA0,SOR202406070245,,2024-06-07,1472000,08
801TJ00000oHqYiYAK,SOR202406071015,,2024-06-07,1880000,08
801TJ00000oHqYmYAK,SOR202406071019,,2024-06-07,6572000,08
801TJ00000oI9tNYAS,SOR202406101780,,2024-06-10,330000,08
801TJ00000oIJH2YAO,SOR202406100354,,2024-06-10,1064000,08
801TJ00000oI8j6YAC,SOR202406100657,,2024-06-10,2192000,08
801TJ00000oI9tJYAS,SOR202406101776,,2024-06-10,2928000,08
801TJ00000oHkjtYAC,SOR202406210091,,2024-06-21,2912000,08
801TJ00000oIXnlYAG,SOR202406240695,,2024-06-24,0,08
801TJ00000oIXoPYAW,SOR202406240735,,2024-06-24,648000,08
801TJ00000oJsvXYAS,,SAL202406300198,2024-06-30,1479000,
801TJ00000oJhu9YAC,,SAL202407010630,2024-07-01,936000,
801TJ00000oJhC4YAK,,SAL202407010388,2024-07-01,976000,
801TJ00000oJhC8YAK,,SAL202407010392,2024-07-01,976000,
801TJ00000oHo8yYAC,SOR202407013652,,2024-07-01,976000,08
801TJ00000oJjGZYA0,,SAL202407011690,2024-07-01,976000,
801TJ00000oJjGYYA0,,SAL202407011689,2024-07-01,976000,
801TJ00000oKbgbYAC,,SAL202407070098,2024-07-07,2928000,
801TJ00000oKLkpYAG,,SAL202407131371,2024-07-13,648000,
801TJ00000oJk2cYAC,,SAL202407130951,2024-07-13,648000,
801TJ00000oKLSKYA4,,SAL202407130804,2024-07-13,1100000,
801TJ00000oKLYhYAO,,SAL202407130903,2024-07-13,1100000,
801TJ00000oKLYXYA4,,SAL202407130893,2024-07-13,2536000,
801TJ00000oKLS2YAO,,SAL202407130786,2024-07-13,2536000,
801TJ00000oKLRqYAO,,SAL202407130774,2024-07-13,6572000,
801TJ00000oJqFAYA0,,SAL202407170495,2024-07-17,2912000,
801TJ00000oKh9DYAS,,SAL202407180269,2024-07-18,976000,
801TJ00000oI5EAYA0,SOR202407230263,,2024-07-23,150000,08
801TJ00000oJs7UYAS,,SAL202407280130,2024-07-28,330000,
801TJ00000oJs7RYAS,,SAL202407280127,2024-07-28,330000,
801TJ00000oJs7QYAS,,SAL202407280126,2024-07-28,976000,
801TJ00000oJv2FYAS,,SAL202408010499,2024-08-01,150000,
801TJ00000oHs6lYAC,SOR202408050424,,2024-08-05,65000,09
801TJ00000oIMvOYAW,SOR202408060515,,2024-08-06,3330000,08
801TJ00000oKiedYAC,,SAL202408080121,2024-08-08,65000,
801TJ00000oI6huYAC,SOR202408080159,,2024-08-08,66000,08
801TJ00000oK6yNYAS,,SAL202408300076,2024-08-30,66000,
801TJ00000oIWW0YAO,SOR202409230122,,2024-09-23,39000,08
801TJ00000oKYtgYAG,,SAL202409290029,2024-09-29,3330000,
801TJ00000oKeYfYAK,,SAL202410150041,2024-10-15,39000,
801TJ00000oI5dRYAS,SOR202502170611,,2025-02-17,0,08
801TJ00000oHgJTYA0,SOR202503040773,,2025-03-04,78000,08
801TJ00000oK5qCYAS,,SAL202503160116,2025-03-16,1316000,
801TJ00000oJSG9YAO,,SAL202504040332,2025-04-04,78000,
801TJ00000oHlKdYAK,SOR202507071779,,2025-07-07,290000,08
801TJ00000oHlKaYAK,SOR202507071776,,2025-07-07,290000,08
801TJ00000oI0zMYAS,SOR202507070856,,2025-07-07,2392000,08
801TJ00000oKctVYAS,,SAL202508090020,2025-08-09,290000,
801TJ00000oKctWYAS,,SAL202508090021,2025-08-09,290000,
801TJ00000oKctSYAS,,SAL202508090017,2025-08-09,2392000,
801TJ00000oI1WZYA0,SOR202510130345,,2025-10-13,1660000,08
801TJ00000oHg1CYAS,SOR202510270373,,2025-10-27,3240000,08
801TJ00000oJOzrYAG,,SAL202511150156,2025-11-15,3240000,
801TJ00000oKg9DYAS,,SAL202511200598,2025-11-20,1072000,
801TJ00000oKTKlYAO,,SAL202511230131,2025-11-23,1660000,
801TJ00000oJFo6YAG,,SAL202601250056,2026-01-25,2488000,
801TJ00000oJgS6YAK,,SAL202601280027,2026-01-28,6696000,
801TJ00000oJhLiYAK,,SAL202602040017,2026-02-04,5460000,
801TJ00000oI2wbYAC,SOR202602260026,,2026-02-26,240000,08
801TJ00000oHyiuYAC,SOR202603030052,,2026-03-03,142000,08
801TJ00000oIDH5YAO,SOR202603160923,,2026-03-16,132000,08
801TJ00000oIBzYYAW,SOR202603160778,,2026-03-16,435000,09
801TJ00000oIBzZYAW,SOR202603160779,,2026-03-16,435000,09
801TJ00000oIBChYAO,SOR202603160581,,2026-03-16,1790000,07
801TJ00000oIBCgYAO,SOR202603160580,,2026-03-16,1790000,07
801TJ00000oHpuvYAC,SOR202603170149,,2026-03-17,435000,08
801TJ00000oHpuuYAC,SOR202603170148,,2026-03-17,435000,08
801TJ00000oJhs0YAC,,SAL202603210146,2026-03-21,142000,
801TJ00000oKiioYAC,,SAL202603210380,2026-03-21,240000,
801TJ00000oHyoDYAS,SOR202603230169,,2026-03-23,114000,07
801TJ00000oKazlYAC,,SAL202603280094,2026-03-28,435000,
801TJ00000oKazkYAC,,SAL202603280093,2026-03-28,435000,
801TJ00000oKB81YAG,,SAL202604120144,2026-04-12,93000,
801TJ00000oIDkNYAW,SOR202604130286,,2026-04-13,143000,02
