_,Id,Order,Order.SaleNo__c,Order.OrderNo__c,Product2Id,IsDeleted,OrderId,PricebookEntryId,OriginalOrderItemId,AvailableQuantity,Quantity,UnitPrice,ListPrice,TotalPrice,ServiceDate,EndDate,Description,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,OrderItemNumber,OrderId__c,OrderSeqNo__c,SaleSeqNo__c,Status__c,DeleteDateTime__c,OrderItemNo__c,SaleItemNo__c,IsExclude__c,DiscountRate__c,NetSalesUnitPrice__c,StoreName__c,TotalAmount__c,OriginalOrderItemId__c,Field1__c
[OrderItem],802TJ00000QzglsYAB,[Order],SAL202407190347,,01tJO000008R1FkYAK,False,801TJ00000oKhLAYA0,01uJO000001R0E3YAK,,1,1,245000,590000,245000,,,,2026-04-19T15:42:14.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:42:14.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:42:14.000+0000,2291130,801TJ00000oGopDYAS,,1,,,,SAL202407190347-1,False,,,롯데노원점,2690500,,0
[OrderItem],802TJ00000QzgltYAB,[Order],SAL202407190347,,01tJO000008R7nLYAS,False,801TJ00000oKhLAYA0,01uJO000001RBWsYAO,,1,1,203000,430000,203000,,,,2026-04-19T15:42:14.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:42:14.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:42:14.000+0000,2291131,801TJ00000oGopDYAS,,2,,,,SAL202407190347-2,False,,,롯데노원점,2690500,,0
[OrderItem],802TJ00000QzgluYAB,[Order],SAL202407190347,,01tJO000008R7nNYAS,False,801TJ00000oKhLAYA0,01uJO000001RBWuYAO,,1,1,357000,990000,357000,,,,2026-04-19T15:42:14.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:42:14.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:42:14.000+0000,2291132,801TJ00000oGopDYAS,,3,,,,SAL202407190347-3,False,,,롯데노원점,2690500,,0
[OrderItem],802TJ00000QzglvYAB,[Order],SAL202407190347,,01tJO000008RAFKYA4,False,801TJ00000oKhLAYA0,01uJO000001RDXUYA4,,1,1,840000,2590000,840000,,,,2026-04-19T15:42:14.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:42:14.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:42:14.000+0000,2291133,801TJ00000oGopDYAS,,4,,,,SAL202407190347-4,False,,,롯데노원점,2690500,,0
[OrderItem],802TJ00000QzglwYAB,[Order],SAL202407190347,,01tJO000008R7pKYAS,False,801TJ00000oKhLAYA0,01uJO000001RBYrYAO,,1,1,1045500,1960000,1045500,,,,2026-04-19T15:42:14.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:42:14.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:42:14.000+0000,2291134,801TJ00000oGopDYAS,,5,,,,SAL202407190347-5,False,,,롯데노원점,2690500,,0
[OrderItem],802TJ00000R0gAZYAZ,[Order],SAL202602040011,,01tJO000008R5gQYAS,False,801TJ00000oJhLdYAK,01uJO000001RAYwYAO,,1,1,74000,1610000,74000,,,,2026-04-19T16:30:32.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:30:32.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:30:32.000+0000,2510609,801TJ00000oHeqpYAC,,1,,,,SAL202602040011-1,False,,,롯데노원점,148000,,0
[OrderItem],802TJ00000R0gAaYAJ,[Order],SAL202602040011,,01tJO000008R5grYAC,False,801TJ00000oJhLdYAK,01uJO000001RAZNYA4,,1,1,74000,1130000,74000,,,,2026-04-19T16:30:32.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:30:32.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:30:32.000+0000,2510610,801TJ00000oHeqpYAC,,2,,,,SAL202602040011-2,False,,,롯데노원점,148000,,0
[OrderItem],802TJ00000Qzsp0YAB,[Order],SAL202406080096,,01tJO000008QydXYAS,False,801TJ00000oKiBtYAK,01uJO000001R2msYAC,,1,1,2320000,6520000,2320000,,,,2026-04-19T15:52:17.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:52:17.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:52:17.000+0000,2334087,801TJ00000oHjwGYAS,,1,,,,SAL202406080096-1,False,,,신세계아울렛제주점,7965000,,0
[OrderItem],802TJ00000Qzsp1YAB,[Order],SAL202406080096,,01tJO000008R9VnYAK,False,801TJ00000oKiBtYAK,01uJO000001RCnxYAG,,1,1,1925000,9130000,1925000,,,,2026-04-19T15:52:17.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:52:17.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:52:17.000+0000,2334088,801TJ00000oHjwGYAS,,2,,,,SAL202406080096-2,False,,,신세계아울렛제주점,7965000,,0
[OrderItem],802TJ00000Qzsp2YAB,[Order],SAL202406080096,,01tJO000008R0UKYA0,False,801TJ00000oKiBtYAK,01uJO000001QzpDYAS,,1,1,1860000,1,1860000,,,,2026-04-19T15:52:17.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:52:17.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:52:17.000+0000,2334089,801TJ00000oHjwGYAS,,3,,,,SAL202406080096-3,False,,,신세계아울렛제주점,7965000,,0
